ID,ITEM,COMMON_NAMES,ENGLISH_NAME,CONTENT_DESC,DISPOSAL_RATE,PER_PORTION_WEIGHT,FOOD_TYPE,DATA_TYPE
F0400101,麒麟菜,"麒麟草,海麒麟草,海珊湖,珊湖藻(草),鹹(鹽/神/福)草",NA,"生鮮,褐色,混合均勻磨碎",0,0,藻類,樣品基本資料
J0416401,低眼無齒芒魚片(芒加魚邊),NA,NA,"生,冷凍產品,混合均勻打碎",NA,211,魚貝類,樣品基本資料
J0407001,布氏鯧鰺(去皮),"金槍,金鯧,紅杉,紅沙瓜仔,長鰭黃臘鰺,甘仔魚(臺東),紅紗(澎湖)",Snubnose pompano; Silver pampano; Silver pompano; Snub-nosed dart; Snub-nosed swallowtail; Permit; Snub-nosed dart; Pompio; Ovate pompano; Round pompano; Pompano; Snubnose dart; Spinous dory;,"生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",56.4,150,魚貝類,樣品基本資料
H0450101,紅豆罐頭(糖漬),"小豆,赤小豆,赤豆,通常小豆,小紅豆,紅小豆",Red bean: canned; Rice bean: canned; Small red bean: canned; Adzuki bean: canned,"熟,罐頭製品,混合均勻打碎(紅豆,糖等)",NA,0,豆類,樣品基本資料
H0305101,花豆,"紅花豆,紅(赤)花菜豆,花仔(阿/柳)豆",Kidney beans; White dutch runner bean; Scarlet runner bean; multiflora bean,"生,乾貨,混合均勻磨碎",NA,221,豆類,樣品基本資料
H0350101,花豆罐頭(糖漬),"紅花豆,紅(赤)花菜豆,花仔(阿/柳)豆",Kidney beans: canned; White dutch runner bean: canned; Scarlet runner bean: canned; multiflora bean: canned,"熟,罐頭製品,混合均勻打碎(花豆,糖等)",NA,0,豆類,樣品基本資料
J2100401,胭脂蝦,"文蝦(""葉狀擬鬚蝦或雄壯鬚蝦"")",NA,"生,去頭尾及外殼,混合均勻打碎",47.8,25,魚貝類,樣品基本資料
J0400901,日本銀帶鯡(加工),"針嘴鰮,丁香魚,魩仔,丁香,鱙仔,灰海荷鰮",Silver stripe round herring,"熟,水煮,混合均勻打碎",NA,16,魚貝類,樣品基本資料
H0800101,豇豆(莢),"長豇豆,長莢豇豆,豆角,菜(筷/江/長/角)豆","Asparagus bean, Yard long bean; Kidney bean; Common bean; Cowpea","生鮮,去蒂頭及尾端,混合均勻打碎",4.6,22,豆類,樣品基本資料
H1300101,鵲豆莢,"肉(扁/藊)豆,峨(蛾/花)眉豆,沿(延)籬豆,隱元豆,膨皮豆",Hyacinth bean; Lablab,"去蒂,數個混合均勻打碎(甜豌豆莢)",NA,52,豆類,樣品基本資料
K0121101,雞鐵蛋,NA,hen's iron egg,"熟,雞蛋製品,混合均勻打碎",NA,0,蛋類,樣品基本資料
K0120101,雞滷蛋(市售),NA,Hen's egg: stewed,"熟,雞蛋製品,混合均勻打碎(雞蛋,醬油,調味料等)",NA,37,蛋類,樣品基本資料
K0400101,鴿蛋,鳥蛋,Pigeon's egg,"生,鴿蛋,去殼,混合均質",16,0,蛋類,樣品基本資料
B0100209,山藥(尖石原生種),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",Chinese yam: Jian-Shyr,"生鮮,去皮,混合均勻打碎",16,1404,澱粉類,樣品基本資料
K0100101,雞蛋(白殼),NA,Hen's egg: white eggshell,"生,雞蛋,去殼,混合均質",13.1,53,蛋類,樣品基本資料
K0123201,荷包蛋(加油1小匙),NA,Hen's egg: over medium with 1 teaspoon of oil,"熟,不沾鍋中加入1小匙油,待油熱打入蛋,約1~2分鐘後翻面,每粒約煎2~3分鐘,取出放冷均質",NA,50,蛋類,樣品基本資料
K0123101,荷包蛋(不加油),NA,Hen's egg: over medium without oil,"熟,不沾鍋中不加油,待鍋熱打入蛋,約1~2分鐘後翻面,每粒約煎2~3分鐘,取出放冷均質",NA,47,蛋類,樣品基本資料
L0324101,中脂凝態發酵乳(草莓),優格,Medium fat yoghurt: strawberry flavor,"中脂(1.5-3.0%)凝態發酵乳,混合均質(生乳,乳酸菌等)",NA,0,乳品類,樣品基本資料
L0316101,低脂濃稠發酵乳,優酪乳,Low-fat concentrated fermented milk,"低脂(0.5-1.5%)濃稠發酵乳,混合均勻(生乳,乳酸菌等)",NA,0,乳品類,樣品基本資料
D2400501,黑李,李子,California plum,"生鮮,黑皮黃肉,去子,混合均勻打碎",4.1,89,水果類,樣品基本資料
A0550301,米苔目,NA,Rice noodle: thick,"熟,混合均勻打碎",NA,0,穀物類,樣品基本資料
D4000101,人心果,"吳鳳柿,沙漠吉拉,查某囝仔,人蔘果",Sapodilla,"生鮮,去皮去子,混合均勻打碎",23.9,0,水果類,樣品基本資料
D1100203,金鑽鳳梨,"旺來,波羅,黃萊,黃梨,王萊(台農17號,春蜜鳳梨)",Pineapple,"生鮮,雜交種,去皮,混合均勻打碎",34.1,1062,水果類,樣品基本資料
D0900101,酪梨(綠皮),"牛油果(梨),黃油果(梨),油梨,鰐(鱷)梨,幸福果,樂天果",Avocado; Aligator-pear; Avocado pear,"生鮮,綠皮,去皮及籽,混合均勻打碎",30.2,311,水果類,樣品基本資料
A05010,胚芽粳米平均值,NA,Germ rice; Rice with germ; Milled rice with embryo,"生,混合均勻磨碎",NA,220,穀物類,樣品平均值
A05011,發芽粳米平均值,發芽糙米,Sprout rice,"生,混合均勻磨碎",NA,212.5,穀物類,樣品平均值
A05005,白粳糯米平均值,圓糯米,"White glutinous rice, short-grain","生,混合均勻磨碎",NA,215,穀物類,樣品平均值
L01021,全脂鮮乳平均值,"牛乳,牛奶",Whole fresh milk,"全脂(3.0-3.8%)鮮乳,混合均勻",0,245.3,乳品類,樣品平均值
K01113,雞皮蛋平均值,NA,Hen's egg: alkalized,"熟,雞蛋製品,去殼,混合均勻打碎",11.8,46.5,蛋類,樣品平均值
D3400201,紅柑,"美人(女)柑,明尼吉柚,葡萄蜜柑,迷你葡萄柚",Tangerine,"生鮮,去皮及子,混合均勻打碎",28.2,189,水果類,樣品基本資料
E7400201,黃番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",Tomato,"生鮮,黃色系大果,去蒂頭,混合均勻打碎",0.1,272,蔬菜類,樣品基本資料
D3200401,加拉蘋果,"柰,林檎,沙果,海棠,花紅,檳子",Apple: Gala,"生鮮,混色,去皮及籽,混合均勻打碎",20.4,126,水果類,樣品基本資料
D3300201,白櫻桃,"中國櫻桃又稱鶯桃,荊桃",Cherry;,"生鮮,紅黃皮,去子,混合均勻打碎",7.7,9,水果類,樣品基本資料
D0300101,安石榴,"石榴, 榭榴, 謝榴, 樹榴","Pomegranate, Delima","生鮮,安石榴,去皮去子,混合均勻打碎",59.8,0,水果類,樣品基本資料
E1700101,白蘆筍,"野天門冬,松葉土當歸,石刁柏,龍鬚菜",Asparagus,"生鮮,去皮及粗莖,混合均勻打碎",20.7,24,蔬菜類,樣品基本資料
E1700201,綠蘆筍,"野天門冬,松葉土當歸,石刁柏,龍鬚菜",Asparagus,"生鮮,去皮及粗莖,混合均勻打碎",24.7,75,蔬菜類,樣品基本資料
D18001,蓮霧平均值(粉紅色種),"璉霧,輦霧,爪哇蒲桃",Wax(Java) apple; Wax gambuor; Wax jumbo;Bell fruit,"生鮮,粉紅色種,去蒂及籽,數粒混合均勻打碎",7.8,115.7,水果類,樣品平均值
D11002,鳳梨平均值(雜交種),"鳳梨,旺來,波羅,黃萊,黃梨,王萊",Pineapple,"生鮮,雜交種,去皮,切塊混合均勻打碎",42,1058.3,水果類,樣品平均值
E3201205,土植青江菜(10月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"生鮮,青江菜,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
E3201201,土植青江菜(1月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"生鮮,青江菜,混合均勻打碎",NA,0,蔬菜類,樣品基本資料
A0410201,玉米胚芽,"玉米仁,珍珠米",Corn germ,"生,混合均勻打碎",NA,0,穀物類,樣品基本資料
R2800101,韭菜盒子,NA,NA,"熟食,混合均勻打碎",NA,138,加工調理食品及其他類,樣品基本資料
P1300901,花生醬,NA,Peanut butter,"麵包醬,混合均勻(花生,植物油等)",NA,0,調味料及香辛料類,樣品基本資料
R6700401,天婦羅,甜不辣,Tempura,"熟食,不含調味醬,混合均勻打碎(魚漿,太白粉等)",NA,0,加工調理食品及其他類,樣品基本資料
R2800201,大餅包小餅(紅豆),NA,NA,"熟食,混合均勻打碎",NA,0,加工調理食品及其他類,樣品基本資料
Q4200301,魚酥,NA,NA,"熟食,混合均勻打碎",NA,0,糕餅點心類,樣品基本資料
R2700401,燒餅,NA,NA,"熟食,混合均勻打碎",NA,0,加工調理食品及其他類,樣品基本資料
R0900201,冷凍花生湯圓,NA,NA,"冷凍包裝,混合均勻打碎(糯米,花生粉等)",0,20,加工調理食品及其他類,樣品基本資料
R5900201,冷凍咕咾肉,NA,NA,"冷凍包裝,混合均勻打碎(豬肉,洋蔥,青椒等)",NA,0,加工調理食品及其他類,樣品基本資料
R6100201,冷凍虱目魚丸,NA,Milkfish ball,"冷凍包裝,混合均勻打碎(虱目魚,澱粉等)",NA,24,加工調理食品及其他類,樣品基本資料
R5400201,冷凍貢丸,NA,Meatball,"冷凍包裝,混合均勻打碎(豬後腿肉等)",NA,22,加工調理食品及其他類,樣品基本資料
R6700601,冷凍花枝羹,NA,Cuttlefish potage,"冷凍包裝,混合均勻打碎(花枝,魚漿等)",NA,0,加工調理食品及其他類,樣品基本資料
R6700201,冷凍魚卵卷,NA,Fish roe roll,"冷凍包裝,混合均勻打碎(魚卵,魚漿等)",NA,7,加工調理食品及其他類,樣品基本資料
Q6200201,黑芝麻糖,NA,Candy,"混合均勻打碎(黑芝麻,花生等)",NA,7,糕餅點心類,樣品基本資料
Q6200101,白芝麻糖,NA,Candy,"混合均勻打碎(白芝麻,麥芽飴等)",NA,76,糕餅點心類,樣品基本資料
C1610201,黑芝麻(熟),NA,Sesame: black,"熟(烤),混合均勻打碎",NA,119,堅果及種子類,樣品基本資料
R6400101,冷凍蚵捲,NA,NA,"冷凍包裝,混合均勻打碎(蚵,韭菜,豆皮等)",0,32,加工調理食品及其他類,樣品基本資料
Q1000201,土司(含全穀粉),NA,NA,"熟食,混合均勻打碎(麵粉,乳粉,糖,鹽,油脂,麩皮,酵母,小麥胚芽等)",NA,46,糕餅點心類,樣品基本資料
O0100301,柳橙汁(非原汁),NA,Orange juice,"瓶裝,混合均勻均質",NA,0,飲料類,樣品基本資料
O0100801,葡萄柚汁(非原汁),NA,Grapefruit juice,"瓶裝,混合均勻均質",NA,0,飲料類,樣品基本資料
P1500301,蒸肉粉(五香),NA,NA,"混合均勻打碎(米,花椒,八角,香辛料,鹽,糖,味素等)",NA,0,調味料及香辛料類,樣品基本資料
C1705301,帶膜花生仁(生),"土豆,長生果,落花生",Raw peanut: dry,"生,乾貨,數包混合均勻打碎",NA,165,堅果及種子類,樣品基本資料
P1500401,熱狗粉,NA,NA,"混合均勻(奶粉,黃豆粉,麵粉,玉米粉,調味料等)",NA,0,調味料及香辛料類,樣品基本資料
G1300203,杏鮑菇(小),"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",King oyster mushroom; apricot mushroom; almond abalone mushroom,"生鮮,混合均勻打碎",NA,21,菇類,樣品基本資料
G1200201,天喜菇,NA,NA,"生鮮,混合均勻打碎",NA,0,菇類,樣品基本資料
J0405501,鞍帶石斑魚片,"龍膽石斑,過魚,槍頭石斑魚,倒吞鱟,鴛鴦鱠,龍躉(香港)",Queensland grouper; Queensland groper; Bridlebass; Brindlebass; Brindle grouper; Brindle bass; Giant grouper,"生,混合均勻打碎",NA,0,魚貝類,樣品基本資料
J3100101,竹蟶(冷凍),"竹蛤,竹蚶,蟶仔,竹節蟶",Gould's Jackknife Clam,"生,冷凍包裝,去殼,混合均勻打碎",30,17,魚貝類,樣品基本資料
Q1000301,紅豆土司,NA,NA,"熟食,混合均勻打碎(土司,紅豆等)",NA,0,糕餅點心類,樣品基本資料
A1100101,紅藜,NA,Red quinoa,"生,乾貨,混合均勻打碎",0,13,穀物類,樣品基本資料
D3300101,櫻桃,"中國櫻桃又稱鶯桃,荊桃",Cherry;,"生鮮,紅皮,去子,混合均勻打碎",9.4,8,水果類,樣品基本資料
I04061,二節翅平均值,NA,NA,"生,雞翅部位,去骨,含皮,混合均勻打碎",44.8,20,肉類,樣品平均值
R4701001,冷凍豆腐,凍豆腐,Bean curd: frozen,"冷凍包裝,混合均勻打碎",0,13,加工調理食品及其他類,樣品基本資料
R4700901,傳統豆腐,板豆腐,Tofu; Bean curd; Soy bean cheese,混合均勻打碎,NA,0,加工調理食品及其他類,樣品基本資料
R4701201,嫩豆腐,NA,NA,混合均勻打碎,0,0,加工調理食品及其他類,樣品基本資料
Q8100601,檸檬果乾,NA,NA,"生,乾貨,混合均勻打碎",0,0,糕餅點心類,樣品基本資料
R4800101,素肉,NA,NA,"冷藏產品,混合均勻打碎",0,0,加工調理食品及其他類,樣品基本資料
O0901601,抹茶粉,綠茶粉,NA,鋁箔袋裝，等重混合均質,0,0,飲料類,樣品基本資料
E9920101,小麥草粉,小麥苗粉,NA,等量混合均勻,0,0,蔬菜類,樣品基本資料
P0102201,花椒粒,NA,NA,"生,乾貨,混合均勻打碎",0,0,調味料及香辛料類,樣品基本資料
E5800402,青花菜(2021年取樣),"(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞",Broccoli,生鮮，數顆去心混合均質,29.8,123,蔬菜類,樣品基本資料
